ID,Nome,Categoria,Tipo,Endereco,Bairro,Latitude,Longitude,Telefone,Horario_Funcionamento,Descricao,Avaliacoes_Estrelas,Website
1,Catedral Metropolitana Basílica Menor de San Lorenzo,Cultural,Igreja Histórica,Plaza 24 de Septiembre,Centro Histórico,-17.7841,-63.1825,+591 3 3324142,Seg-Dom: 7:00 AM - 6:00 PM,Principal catedral de Santa Cruz construída em 1595 e reconstruída em 1838. Apresenta estilo eclético com abóbadas de madeira e decorações pictóricas. Preserva peças de prata da missão jesuíta de San Pedro de Moxos.,4.6,https://www.iglesia-santacruz.org
2,Museu Noel Kempff Mercado,Cultural,Museu de História Natural,Avenida Irala #565 entre Avenida Ejercito Nacional,Centro,-17.7927,-63.1819,+591 3 3360517,Ter-Dom: 9:00 AM - 3:30 PM (Seg fechado),Centro de pesquisa dedicado à flora fauna paleontologia minerais e rochas do Departamento de Santa Cruz. Apresenta esqueletos de dinossauros e espécimes de fauna tropical.,4.3,https://www.museo-noel-kempff.org
3,Museu de Arte Contemporáneo,Cultural,Museu de Arte,Calle Sucre #50,Centro,-17.7835,-63.1770,+591 3 3334159,Ter-Dom: 10:00 AM - 7:00 PM,Museu dedicado à arte contemporânea boliviana e internacional. Apresenta exposições rotativas de artistas locais e estrangeiros. Acessível para deficientes.,4.5,https://www.mac-scz.org
4,Centro Cultural Raúl Otero Reiche,Cultural,Centro Cultural,Avenida Cristo Redentor,Centro,-17.7920,-63.1790,+591 3 3319847,Ter-Dom: 10:00 AM - 6:00 PM,Centro cultural que oferece exposições de arte apresentações teatrais seminários e workshops. Promove a cultura e patrimônio local. Acesso acessível.,4.4,https://www.ratero-cultural.org
5,Museu de História Regional,Cultural,Museu Histórico,Calle 8 Sur frente aos Correios Junín 151,Centro Histórico,-17.7830,-63.1832,+591 3 3329654,Seg-Sex: 9:00 AM - 12:00 PM / 2:00 PM - 5:00 PM,Preserva a história de Santa Cruz através de documentos fotografias e artefatos. Apresenta coleções sobre período colonial independência e desenvolvimento moderno.,4.2,https://www.archivo-historico-scz.org
6,Los Peperos Parrilla Argentina,Restaurante,Churrascaria,Avenida Monseñor Rivero,Equipetrol,-17.7980,-63.1640,+591 3 3408765,Seg-Dom: 11:30 AM - 11:00 PM,Churrascaria argentina especializada em carnes grelhadas buffet de saladas acompanhamentos variados. Ambiente rústico e acolhedor com vista para a cidade.,4.7,https://www.lospeperosparrilla.com
7,Mikado Sushi & Grill,Restaurante,Sushi/Fusion,Calle 24 de Septiembre,Centro,-17.7842,-63.1835,+591 3 3326789,Ter-Dom: 12:00 PM - 11:00 PM (Seg fechado),Restaurante sofisticado de sushi e gastronomia asiática fusionada com influências locais. Rodas de sushi pratos quentes tempura. Ambiente moderno e elegante.,4.6,https://www.mikadosushi.bo
8,Casa del Camba,Restaurante,Comida Tradicional Boliviana,Avenida Cristo Redentor s/n,Centro,-17.7855,-63.1820,+591 3 3332145,Seg-Dom: 10:00 AM - 10:00 PM,Restaurante especializado em culinária tradicional cruceña. Majadito locro sopa de amendoim empadinhas variadas. Decoração típica com artesanato local.,4.5,https://www.casadelcamba.com
9,La Estancia Gourmet,Restaurante,Gastronomia Contemporânea,Zona Equipetrol Rua 2 de Agosto,Equipetrol,-17.8020,-63.1680,+591 3 3404561,Ter-Dom: 12:00 PM - 11:00 PM,Restaurante gourmet com culinária contemporânea e ingredientes locais premium. Menu internacional com influências sul-americanas. Vinho selecionado.,4.8,https://www.laestanciagourmet.com.bo
10,Tapioca da Ninha,Restaurante,Comida Brasileira,Avenida Monseñor Rivero Centro Comercial,Centro,-17.7890,-63.1805,+591 3 3328902,Seg-Dom: 11:00 AM - 10:00 PM,Autêntico restaurante de comida brasileira com especialidade em tapiocas acarajé pão de queijo e feijoada. Bebidas típicas brasileiras. Ambiente informal.,4.4,https://www.tapiocdaninha.bo
11,Hard Rock Cafe Santa Cruz,Restaurante,Internacional/Rock,Avenida Cristo Redentor Centro Comercial,Centro,-17.7910,-63.1795,+591 3 3340500,Seg-Dom: 12:00 PM - 1:00 AM,Franquia internacional com menu de burgers carnes e pratos americanos. Memorabilia de rock. Bar completo. Música ao vivo fins de semana.,4.3,https://www.hardrock.com/santacruz
12,Hotel Marriott Santa Cruz,Hospedagem,Hotel 5 Estrelas,Avenida Cristo Redentor s/n Zona Equipetrol,Equipetrol,-17.8015,-63.1725,+591 3 3410000,24 horas,Hotel de luxo com 240 quartos piscina climatizada spa academia 4 restaurantes. Business center centro de convenções. Internet de alta velocidade.,4.8,https://www.marriott.com/santacruz
